195  ### Number of species with binding energy      
Spec     ED(K)    references         
H3C9N   10300.    osu_2008_03ggs.dat       185
CH2NH2   5010.    osu_2008_03ggs.dat       186
CH3NH    3550.    osu_2008_03ggs.dat       187
H4C3N    5930.    osu_2008_03ggs.dat       188
C5H4     5890.    osu_2008_03ggs.dat       189
C6H4     6690.    osu_2008_03ggs.dat       190
C7H4     7490.    osu_2008_03ggs.dat       191
C8H4     8290.    osu_2008_03ggs.dat       192
C9H4     9090.    osu_2008_03ggs.dat       193
H5C3N    6380.    osu_2008_03ggs.dat       194
C2H6     4390.    osu_2008_03ggs.dat       195
